customer_id,customer_name,email,phone
1,Customer 1,customer1@example.com,555-0101
2,Customer 2,customer2@example.com,555-0102
3,Customer 3,customer3@example.com,555-0103
4,Customer 4,customer4@example.com,555-0104
5,Customer 5,customer5@example.com,555-0105
6,Customer 6,customer6@example.com,555-0106
7,Customer 7,customer7@example.com,555-0107
8,Customer 8,customer8@example.com,555-0108
9,Customer 9,customer9@example.com,555-0109
10,Customer 10,customer10@example.com,555-0110
11,Customer 11,customer11@example.com,555-0111
12,Customer 12,customer12@example.com,555-0112
13,Customer 13,customer13@example.com,555-0113
14,Customer 14,customer14@example.com,555-0114
15,Customer 15,customer15@example.com,555-0115
16,Customer 16,customer16@example.com,555-0116
17,Customer 17,customer17@example.com,555-0117
18,Customer 18,customer18@example.com,555-0118
19,Customer 19,customer19@example.com,555-0119
20,Customer 20,customer20@example.com,555-0120
