order_id_x,customer_id,customer_name,email,phone,order_id_y,product_id,quantity,order_date,status
1,1,Customer 1,customer1@example.com,555-0101,5,35,3,2023-01-05,Delivered
1,1,Customer 1,customer1@example.com,555-0101,12,2,7,2023-01-12,Cancelled
1,1,Customer 1,customer1@example.com,555-0101,15,92,1,2023-01-15,Delivered
1,1,Customer 1,customer1@example.com,555-0101,48,50,8,2023-02-17,Delivered
1,1,Customer 1,customer1@example.com,555-0101,73,92,1,2023-03-14,Shipped
1,1,Customer 1,customer1@example.com,555-0101,82,59,2,2023-03-23,Delivered
2,2,Customer 2,customer2@example.com,555-0102,18,49,7,2023-01-18,Pending
2,2,Customer 2,customer2@example.com,555-0102,61,1,9,2023-03-02,Shipped
2,2,Customer 2,customer2@example.com,555-0102,71,9,5,2023-03-12,Pending
2,2,Customer 2,customer2@example.com,555-0102,81,14,3,2023-03-22,Cancelled
2,2,Customer 2,customer2@example.com,555-0102,113,40,7,2023-04-23,Pending
3,3,Customer 3,customer3@example.com,555-0103,11,62,2,2023-01-11,Shipped
3,3,Customer 3,customer3@example.com,555-0103,26,18,7,2023-01-26,Pending
3,3,Customer 3,customer3@example.com,555-0103,36,40,9,2023-02-05,Shipped
3,3,Customer 3,customer3@example.com,555-0103,41,18,5,2023-02-10,Pending
3,3,Customer 3,customer3@example.com,555-0103,63,64,2,2023-03-04,Pending
3,3,Customer 3,customer3@example.com,555-0103,76,33,7,2023-03-17,Pending
3,3,Customer 3,customer3@example.com,555-0103,84,56,5,2023-03-25,Delivered
3,3,Customer 3,customer3@example.com,555-0103,95,21,3,2023-04-05,Delivered
4,4,Customer 4,customer4@example.com,555-0104,25,19,9,2023-01-25,Shipped
4,4,Customer 4,customer4@example.com,555-0104,37,40,3,2023-02-06,Cancelled
4,4,Customer 4,customer4@example.com,555-0104,86,76,2,2023-03-27,Cancelled
4,4,Customer 4,customer4@example.com,555-0104,104,14,2,2023-04-14,Delivered
5,5,Customer 5,customer5@example.com,555-0105,23,30,8,2023-01-23,Pending
5,5,Customer 5,customer5@example.com,555-0105,29,3,4,2023-01-29,Shipped
5,5,Customer 5,customer5@example.com,555-0105,31,13,2,2023-01-31,Pending
5,5,Customer 5,customer5@example.com,555-0105,67,25,4,2023-03-08,Delivered
5,5,Customer 5,customer5@example.com,555-0105,101,8,4,2023-04-11,Delivered
6,6,Customer 6,customer6@example.com,555-0106,1,6,4,2023-01-01,Shipped
6,6,Customer 6,customer6@example.com,555-0106,66,95,1,2023-03-07,Shipped
6,6,Customer 6,customer6@example.com,555-0106,83,82,4,2023-03-24,Shipped
6,6,Customer 6,customer6@example.com,555-0106,88,37,8,2023-03-29,Pending
6,6,Customer 6,customer6@example.com,555-0106,97,69,2,2023-04-07,Delivered
6,6,Customer 6,customer6@example.com,555-0106,98,23,5,2023-04-08,Cancelled
6,6,Customer 6,customer6@example.com,555-0106,109,80,8,2023-04-19,Pending
6,6,Customer 6,customer6@example.com,555-0106,112,5,4,2023-04-22,Delivered
6,6,Customer 6,customer6@example.com,555-0106,114,93,5,2023-04-24,Shipped
7,7,Customer 7,customer7@example.com,555-0107,8,81,8,2023-01-08,Delivered
7,7,Customer 7,customer7@example.com,555-0107,17,37,2,2023-01-17,Delivered
7,7,Customer 7,customer7@example.com,555-0107,43,72,8,2023-02-12,Cancelled
7,7,Customer 7,customer7@example.com,555-0107,53,74,4,2023-02-22,Cancelled
7,7,Customer 7,customer7@example.com,555-0107,57,74,2,2023-02-26,Delivered
